date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:34	2033/2033	---MCZ	200	added ('OK')	text/plain	etag:W/%222490-193b5f76670%22	https://www.upgrad.com/robots.txt		(from )
11:55:34	419547/419547	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202025%2016:10:49%20GMT	https://www.upgrad.com/mba-opj-global-university-lpv1/	C:/My%20Web%20Sites/eMBA/www.upgrad.com/mba-opj-global-university-lpv1/index.html	(from )
11:55:35	251951/251951	---MCZ	200	added ('OK')	text/css	etag:W/%22639a58953e0c3f4c4441b5df234c770b%22	https://assets.upgrad.com/1802/_next/static/css/ffa223351b22e0a4.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/ffa223351b22e0a4.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:35	51444/51444	---MCZ	200	added ('OK')	text/css	etag:W/%22bfcf972799b49242384fb28c233f52f3%22	https://assets.upgrad.com/1802/_next/static/css/aa8802bd53b1027f.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/aa8802bd53b1027f.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:35	32806/32806	---MCZ	200	added ('OK')	text/css	etag:W/%221f12ba3c98a10a7aec9f5be5d262259a%22	https://assets.upgrad.com/1802/_next/static/css/771c12358b6e1c33.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/771c12358b6e1c33.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:35	11794/11794	---MCZ	200	added ('OK')	text/css	etag:W/%22ff42eb114e91d8a9f66791cf79d47f06%22	https://assets.upgrad.com/1802/_next/static/css/5214bb5041a4d56d.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/5214bb5041a4d56d.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:35	527/527	---M--	200	added ('OK')	text/css	etag:%22d67350377019b9016eca82ba7b9fd29c%22	https://assets.upgrad.com/1802/_next/static/css/9c4941ab43da4a0f.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/9c4941ab43da4a0f.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:36	285/285	---M--	200	added ('OK')	text/css	etag:%228c4f63f4a8c7e001ceba781f2b805516%22	https://assets.upgrad.com/1802/_next/static/css/d7b56bd723f61d59.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/d7b56bd723f61d59.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:36	644/644	---M--	200	added ('OK')	text/css	etag:%22c71704aeed2be1d45d37a43870145d46%22	https://assets.upgrad.com/1802/_next/static/css/18327586d51646d3.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/18327586d51646d3.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:36	122/122	---M--	200	added ('OK')	text/css	etag:%22d51d41668802e4072db7927387d0080b%22	https://assets.upgrad.com/1802/_next/static/css/7dc687014253258b.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/7dc687014253258b.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:36	1182/1182	---MCZ	200	added ('OK')	text/css	etag:W/%22e76d50f57c939fccf0fbf6d823f5f7b4%22	https://assets.upgrad.com/1802/_next/static/css/b8f122b0c01e9f5d.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/b8f122b0c01e9f5d.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:36	241/241	---M--	200	added ('OK')	text/css	etag:%22f7d05ba85d04c3229a4853130583087d%22	https://assets.upgrad.com/1802/_next/static/css/7e3746a276680e27.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/7e3746a276680e27.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:37	453/453	---M--	200	added ('OK')	text/css	etag:%2222f0c9a24b57e0bc0e05655d036aa643%22	https://assets.upgrad.com/1802/_next/static/css/53a7c623f1eb0358.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/53a7c623f1eb0358.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:37	1799/1799	---MCZ	200	added ('OK')	text/css	etag:W/%22c099d6ff4fc743d15d279392bcd3f3f4%22	https://assets.upgrad.com/1802/_next/static/css/9062ba240c5a880c.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/9062ba240c5a880c.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:37	1815/1815	---MCZ	200	added ('OK')	text/css	etag:W/%22983a6c4aa2f35dc3e8f52dfff3798380%22	https://assets.upgrad.com/1802/_next/static/css/655eb9ddae866b23.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/655eb9ddae866b23.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:37	135/135	---M--	200	added ('OK')	text/css	etag:%2279807475700ad8701f30e1e4ca663761%22	https://assets.upgrad.com/1802/_next/static/css/ddba1f4fa3e84b91.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/ddba1f4fa3e84b91.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
11:55:38	119/119	---M--	200	added ('OK')	text/css	etag:%2288fbc3c00dd5ad2b17dfb9d87456f867%22	https://assets.upgrad.com/1802/_next/static/css/9099b745da241971.css	C:/My%20Web%20Sites/eMBA/assets.upgrad.com/1802/_next/static/css/9099b745da241971.css	(from https://www.upgrad.com/mba-opj-global-university-lpv1/)
